Low income,LIC,"Population, total",668454965
Liechtenstein,LIE,"Population, total",38019
Sri Lanka,LKA,"Population, total",21803000
Lower middle income,LMC,"Population, total",2913363391
Low & middle income,LMY,"Population, total",6437681145
Lesotho,LSO,"Population, total",2125268
Late-demographic dividend,LTE,"Population, total",2298470832
Lithuania,LTU,"Population, total",2786844
Luxembourg,LUX,"Population, total",619896
Latvia,LVA,"Population, total",1912789
"Macao SAR, China",MAC,"Population, total",640445
St. Martin (French part),MAF,"Population, total",38002
Morocco,MAR,"Population, total",36471769
Monaco,MCO,"Population, total",38964
Moldova,MDA,"Population, total",2657637
Madagascar,MDG,"Population, total",26969307
Maldives,MDV,"Population, total",530953
Middle East & North Africa,MEA,"Population, total",456707404
Mexico,MEX,"Population, total",127575529
Marshall Islands,MHL,"Population, total",58791
Middle income,MIC,"Population, total",5769226180
North Macedonia,MKD,"Population, total",2083459
Mali,MLI,"Population, total",19658031
Malta,MLT,"Population, total",502653
Myanmar,MMR,"Population, total",54045420
Middle East & North Africa (excluding high income),MNA,"Population, total",389457086
Montenegro,MNE,"Population, total",622137
Mongolia,MNG,"Population, total",3225167
Northern Mariana Islands,MNP,"Population, total",57216
Mozambique,MOZ,"Population, total",30366036
Mauritania,MRT,"Population, total",4525696
Mauritius,MUS,"Population, total",1265711
Malawi,MWI,"Population, total",18628747
Malaysia,MYS,"Population, total",31949777
North America,NAC,"Population, total",365892703
Namibia,NAM,"Population, total",2494530
New Caledonia,NCL,"Population, total",287800
Niger,NER,"Population, total",23310715
Nigeria,NGA,"Population, total",200963599
Nicaragua,NIC,"Population, total",6545502
Netherlands,NLD,"Population, total",17332850
Norway,NOR,"Population, total",5347896
Nepal,NPL,"Population, total",28608710
Nauru,NRU,"Population, total",12581
New Zealand,NZL,"Population, total",4917000
OECD members,OED,"Population, total",1359963500
Oman,OMN,"Population, total",4974986
Other small states,OSS,"Population, total",31360407
Pakistan,PAK,"Population, total",216565318
Panama,PAN,"Population, total",4246439
Peru,PER,"Population, total",32510453
Philippines,PHL,"Population, total",108116615
Palau,PLW,"Population, total",18008
